Tg,Ta,Tc
33.4925,24.0,36.59
33.97,24.0,37.19
34.82,24.0,37.34
34.302499999999995,24.0,37.09
34.669999999999995,24.0,37.04
34.285,24.0,36.99
33.677499999999995,24.0,36.59
33.46,25.0,36.49
35.19,25.0,36.59
35.215,26.0,36.89
33.730000000000004,22.8,36.54
33.34,23.0,36.74
34.055,23.0,36.54
34.269999999999996,23.0,37.19
34.8825,23.5,37.79
34.230000000000004,23.7,36.49
33.7725,24.0,37.09
34.31666666666667,22.5,37.19
33.92999999999999,23.2,36.89
34.0925,22.6,36.54
34.39,22.9,37.04
35.2025,23.0,37.04
34.17,23.1,36.14
34.0425,23.1,36.99
34.7975,22.9,37.09
33.05,22.9,36.59
34.66,23.2,36.89
33.935,22.5,36.64
34.4675,23.4,37.14
34.042500000000004,23.2,36.59
34.9975,23.1,37.39
34.1125,22.8,36.49
33.83,22.8,37.19
34.1,23.0,37.39
33.557500000000005,23.2,36.74
33.897499999999994,23.2,37.04
34.53,23.2,36.59
34.7025,23.2,37.29
34.475,23.4,37.29
33.9825,22.9,36.69
34.47,23.1,37.04
34.5725,23.2,36.79
34.7725,23.4,37.04
33.5,23.0,35.99
34.2,23.4,37.09
34.0975,23.4,36.74
34.6125,23.4,36.84
34.2275,23.5,37.09
34.667500000000004,23.1,37.34
34.435,23.2,36.94
34.37,23.0,36.99
34.0175,23.0,36.64
34.5925,23.7,37.09
34.5025,23.7,36.54
34.167500000000004,23.2,36.64
34.5825,23.4,36.84
34.445,23.4,36.89
34.442499999999995,23.2,37.04
34.24,23.2,37.09
34.9525,23.4,37.79
34.415,23.5,37.04
34.555,23.0,36.84
34.01,23.1,36.84
34.75,23.5,37.14
34.714999999999996,23.5,37.04
34.3425,23.6,37.19
35.46249999999999,23.2,37.99
34.225,23.0,37.04
33.754999999999995,23.4,36.39
34.99250000000001,23.3,37.19
33.4825,22.8,36.54
34.1075,23.4,36.89
35.705,23.5,38.69
34.457499999999996,23.6,36.79
32.529999999999994,23.7,36.79
34.3675,24.2,37.19
34.97666666666666,23.5,37.09
34.255,22.8,36.79
35.833333333333336,23.4,38.54
34.667500000000004,23.6,36.29
34.5475,24.0,36.64
36.0925,24.8,38.59
34.1225,25.0,36.09
33.94499999999999,23.3,37.04
34.2675,24.4,37.09
35.015,24.6,37.14
35.065,24.6,36.94
34.8625,25.3,37.29
34.5475,25.3,36.94
35.0075,25.7,36.84
34.36,25.1,37.39
33.955000000000005,25.5,36.94
34.615,25.5,36.29
35.95,25.7,37.79
35.4925,25.7,37.44
34.4175,26.0,36.94
35.05500000000001,26.0,36.79
34.095,25.8,37.24
35.885000000000005,25.6,38.09
32.2625,22.7,36.49
34.7025,23.4,36.94
33.5775,23.5,36.79
34.655,23.8,37.34
34.5225,23.8,36.99
35.1375,23.6,37.99
33.67250000000001,22.9,36.14
34.03666666666666,23.3,36.69
33.589999999999996,23.3,36.34
34.43333333333333,23.2,36.99
34.8425,23.2,37.29
34.800000000000004,23.6,36.89
34.9425,23.5,37.34
33.0925,22.7,35.64
33.800000000000004,22.6,37.24
33.697500000000005,22.8,36.59
34.05,22.7,36.19
34.23,23.4,37.04
34.445,23.4,36.69
34.07,23.7,36.89
34.112500000000004,23.7,36.94
33.269999999999996,22.8,36.54
34.4975,22.7,36.84
36.975,23.2,40.34
33.98,23.2,37.09
33.7325,22.8,36.99
34.7825,23.2,36.79
34.68000000000001,23.4,36.64
34.545,23.4,36.89
35.0,23.3,37.44
34.4975,23.6,37.99
34.917500000000004,23.8,37.39
34.05,23.4,36.69
35.95333333333334,23.7,38.39
34.362500000000004,23.0,37.09
34.182500000000005,22.7,37.04
33.720000000000006,23.2,36.64
35.5175,23.8,38.04
34.445,24.1,36.84
33.852500000000006,25.1,36.74
35.2,25.0,37.99
34.697500000000005,25.2,37.09
33.85249999999999,23.1,36.64
34.985,23.7,37.04
34.9775,23.9,37.04
34.085,22.7,36.89
34.42,23.2,37.14
34.275000000000006,23.3,37.94
34.635,23.6,36.99
34.09,24.4,37.24
33.0625,22.7,36.59
35.275000000000006,23.4,37.99
33.917500000000004,23.8,37.14
35.165000000000006,24.4,37.09
34.925,25.8,36.79
34.997499999999995,26.2,36.44
35.0975,26.5,38.44
36.105000000000004,26.4,39.64
34.1875,23.7,36.79
34.455,24.0,36.74
33.165000000000006,26.1,36.84
35.4125,26.4,36.99
34.2975,26.5,36.84
33.7475,22.8,36.39
34.23,23.1,36.69
34.4975,23.1,36.89
34.3825,23.4,36.99
31.28,22.8,36.44
34.5225,25.3,37.14
34.61,25.4,37.24
34.900000000000006,25.6,36.69
34.4825,25.2,36.99
33.61,23.1,35.94
34.6625,23.2,37.14
33.9825,23.6,36.84
34.01,23.7,37.04
34.545,23.9,37.09
34.692499999999995,23.3,36.99
33.065,22.6,36.24
34.045,22.7,37.14
34.2925,23.0,36.79
34.415000000000006,23.0,36.34
34.98500000000001,23.2,36.89
34.035,23.2,36.64
35.0,23.5,37.19
33.31,22.7,36.79
34.0575,23.0,36.99
34.05,23.2,36.54
35.10666666666666,24.7,37.04
34.3275,23.1,37.14
34.0925,23.5,36.99
34.85,23.7,37.19
35.1825,24.4,36.99
33.71,23.8,36.94
33.695,24.1,36.44
34.0025,25.3,36.84
34.9275,25.9,37.24
34.1875,25.5,37.04
34.865,25.6,37.09
35.080000000000005,26.0,37.34
34.805,26.0,36.69
34.3575,22.0,36.79
33.6425,22.2,36.89
34.535,22.4,37.29
34.3675,22.4,37.14
34.23,22.7,36.59
32.9375,22.1,36.19
34.78,22.1,37.24
33.775,22.4,36.54
33.9925,22.3,36.79
35.0,23.2,36.94
34.37,23.4,36.19
34.620000000000005,23.5,37.14
33.8375,23.0,37.64
33.6375,22.5,36.84
34.61,22.6,36.89
32.07,22.7,37.34
34.3175,22.7,37.09
34.035,22.6,36.59
33.8725,23.0,36.94
33.825,22.9,37.09
34.62,22.6,36.79
34.56333333333333,22.5,36.44
33.589999999999996,22.7,36.49
34.345,22.1,36.39
34.135,22.4,37.34
34.31,22.7,36.54
33.16,22.7,36.79
33.540000000000006,22.6,36.59
34.519999999999996,22.9,37.49
34.035000000000004,22.2,36.79
32.2275,23.0,36.59
34.057500000000005,22.2,36.74
33.965,22.2,36.69
34.2675,22.7,37.24
33.995000000000005,22.7,37.04
34.19,22.9,37.14
35.144999999999996,22.9,36.89
34.8425,23.0,36.94
34.707499999999996,23.2,36.84
34.495,23.8,36.99
33.39,24.2,37.24
34.1875,24.5,36.89
34.2975,24.5,36.74
34.5275,24.9,37.04
34.7925,24.7,36.84
33.480000000000004,24.8,36.84
33.93,25.1,36.99
34.7175,25.1,36.24
34.97,25.1,36.84
34.00000000000001,22.9,36.44
34.03,23.0,36.69
33.695,23.2,36.59
34.416666666666664,23.7,36.99
34.97,23.6,37.29
34.519999999999996,24.1,37.09
34.4075,24.2,36.79
34.987500000000004,24.0,37.09
34.6425,24.6,37.29
34.7675,25.1,36.99
34.7625,25.1,37.14
34.184999999999995,25.2,36.94
36.4975,25.5,38.84
35.785,25.6,38.49
34.7175,25.6,37.14
33.79,22.0,36.74
34.985,22.4,37.44
34.09,22.9,36.54
34.3575,23.3,36.99
34.345,23.1,36.99
33.545,22.1,37.04
35.015,22.3,37.09
33.4775,22.5,36.54
32.449999999999996,22.6,37.89
33.714999999999996,22.4,36.64
34.1425,21.8,36.79
34.12,22.8,36.74
34.53999999999999,22.8,37.04
34.18,22.7,37.04
33.627500000000005,23.0,36.64
33.885,23.2,37.24
34.085,23.4,36.99
34.7275,23.5,36.74
34.4975,23.7,36.94
34.175,24.0,36.79
35.129999999999995,24.0,37.29
34.56,24.3,37.14
33.815,24.3,37.04
34.322500000000005,24.6,36.89
33.6975,24.6,36.89
34.589999999999996,24.8,36.74
34.707499999999996,23.9,37.34
34.375,24.5,36.94
36.08,25.0,38.29
34.63249999999999,25.4,36.69
35.010000000000005,25.4,37.39
34.63,24.9,36.89
35.5175,25.2,37.14
35.0775,25.2,36.99
34.9525,27.0,36.74
34.8325,25.6,37.44
34.222500000000004,25.7,36.84
34.65,26.0,38.44
35.09,26.3,37.04
32.167500000000004,26.7,36.94
35.709999999999994,26.5,37.49
35.375,26.8,37.24
35.5525,26.9,37.59
34.3625,27.2,36.34
35.1325,27.2,37.34
34.0,23.4,37.04
34.6375,23.6,37.09
34.537499999999994,23.5,37.04
34.2175,23.6,37.19
33.855000000000004,23.0,36.99
34.9425,23.1,37.74
34.324999999999996,23.9,36.74
34.6325,22.1,37.19
34.5475,22.3,36.84
34.3525,23.5,36.64
34.2025,22.4,36.84
33.1925,22.3,35.99
34.3375,22.8,37.04
33.8425,24.5,36.94
34.475,24.7,36.94
34.5375,25.0,37.39
34.70666666666667,26.4,37.59
34.905,26.9,36.64
34.417500000000004,25.2,36.74
34.449999999999996,26.2,36.69
35.0575,26.6,36.49
34.525,23.0,37.44
34.165,23.2,37.04
34.46,23.5,36.74
34.1625,23.1,36.59
33.6025,23.3,36.74
33.445,23.3,36.89
34.192499999999995,23.7,36.39
34.42,23.6,37.14
34.035,23.8,37.19
34.432500000000005,23.3,36.84
34.72,23.7,37.34
35.167500000000004,23.8,37.94
33.9325,21.4,36.19
34.025,21.5,37.09
34.5225,21.8,37.59
33.6625,22.0,37.09
34.019999999999996,22.2,37.24
34.1625,22.1,36.59
34.33,23.2,37.09
33.025000000000006,22.4,36.54
34.155,22.6,37.24
34.69,23.7,36.94
34.17,22.5,36.94
33.552499999999995,22.0,37.04
33.4525,21.2,36.89
34.080000000000005,21.4,36.34
33.652499999999996,21.4,37.04
33.9575,22.1,37.19
34.88,22.1,38.44
33.57,21.6,36.74
34.307500000000005,21.6,36.99
33.522499999999994,21.6,37.54
34.31999999999999,21.5,36.74
33.94,21.7,36.49
33.995,20.5,37.19
33.8925,22.9,36.59
34.4075,22.7,37.14
34.255,21.2,37.54
33.6975,21.6,37.14
34.4775,21.6,37.04
34.485,24.7,36.89
34.4175,24.7,37.44
33.8025,23.6,37.14
33.6,21.7,36.59
32.785,21.4,36.69
33.9775,21.2,36.84
34.5725,21.3,36.84
33.5125,20.8,36.99
34.1925,20.6,37.09
33.912499999999994,21.0,36.94
34.275,21.1,36.99
34.0325,20.8,37.49
33.5275,20.8,36.94
33.775,20.7,36.99
34.12,21.0,38.29
33.9525,21.1,36.79
34.236666666666665,20.6,37.14
33.4625,21.5,37.24
33.015,20.2,36.89
33.045,20.3,36.44
34.42,20.6,37.39
34.0725,21.0,36.99
34.120000000000005,21.0,37.09
33.747499999999995,21.0,37.19
33.905,21.3,36.79
34.985,25.7,36.69
34.832499999999996,25.7,36.89
35.199999999999996,25.7,37.09
35.2725,24.7,37.39
35.4375,24.8,37.29
35.025,24.7,37.19
34.165,24.6,36.44
34.5975,24.4,37.24
34.245,24.6,36.79
34.260000000000005,24.0,37.09
34.730000000000004,24.2,37.09
34.75333333333333,24.1,36.84
34.397499999999994,24.1,36.89
34.5475,24.2,37.19
34.4475,24.0,36.74
34.182500000000005,24.0,36.59
34.035000000000004,24.1,37.34
34.6875,24.1,36.74
33.95,24.1,36.64
34.79,24.3,36.59
34.33,25.0,36.34
34.489999999999995,25.1,36.64
34.7525,25.2,37.04
34.65,25.3,36.84
35.1025,25.6,37.04
34.557500000000005,25.7,36.89
34.614999999999995,24.1,36.99
34.589999999999996,24.4,37.09
34.7325,24.8,36.94
34.8925,25.5,36.89
34.6425,24.1,36.94
34.587500000000006,24.1,36.84
35.1125,26.5,36.69
33.5975,26.8,36.94
35.3,26.8,37.04
35.105000000000004,27.0,36.69
35.11,27.0,36.94
34.515,25.1,36.89
34.9525,25.1,36.59
34.849999999999994,27.8,37.04
35.572500000000005,27.4,37.04
34.9925,27.8,37.19
34.0275,27.8,37.39
35.03,27.3,36.94
35.3225,22.0,37.24
34.7525,26.3,36.99
34.6075,25.6,36.99
34.405,25.6,37.14
34.135,24.9,37.09
35.1775,24.1,37.74
34.295,23.9,36.59
34.4275,23.9,36.49
34.9925,24.3,37.54
34.474999999999994,24.0,36.59
34.1575,24.0,36.84
34.6875,24.2,36.44
35.055,24.3,37.44
33.964999999999996,24.3,36.94
34.375,24.3,36.94
34.7425,24.3,37.19
34.195,23.9,36.89
34.607499999999995,23.9,36.94
34.665,23.7,37.54
34.4425,23.7,36.89
34.9275,23.8,36.89
33.7725,24.4,36.84
34.685,24.0,36.94
34.755,24.0,36.84
34.2975,24.0,36.89
33.68,24.0,37.09
34.705000000000005,24.1,36.64
34.620000000000005,24.7,37.94
35.285,25.1,36.79
35.224999999999994,25.2,36.99
34.946666666666665,25.2,37.04
35.43,25.7,36.84
34.9975,25.6,36.84
34.9825,25.7,36.84
34.94,25.7,36.79
35.6125,25.7,37.49
35.3275,25.7,37.74
34.3675,23.0,37.14
33.85,23.4,35.84
34.2875,23.6,36.89
34.23,23.9,36.54
33.8825,24.0,36.04
34.5125,24.2,37.09
34.4975,24.7,36.79
34.28666666666667,24.3,36.94
33.81333333333333,24.2,36.94
34.29333333333333,24.3,36.89
35.09,24.1,37.49
35.265,23.8,38.94
34.8125,25.9,36.54
34.913333333333334,26.6,37.14
36.425000000000004,26.3,39.09
34.9925,27.3,36.54
35.09,25.3,36.89
33.387499999999996,25.4,37.04
34.3425,25.4,36.89
35.94,24.5,38.69
35.015,24.5,37.29
34.004999999999995,24.5,36.84
34.78,27.2,36.89
35.44,27.2,37.29
35.0475,27.2,36.94
34.9,27.2,36.84
35.434999999999995,27.2,37.29
33.41,28.0,37.04
35.565,28.0,37.34
34.87,28.0,37.34
35.5025,28.0,36.79
35.682500000000005,28.2,36.79
35.5575,28.2,36.89
34.894999999999996,25.4,36.89
34.015,25.9,36.94
35.294999999999995,26.0,36.89
33.6875,26.1,36.44
34.505,25.6,36.84
34.1225,25.6,36.74
34.525,25.6,36.79
34.6325,25.6,36.74
35.485,24.7,37.29
34.6525,24.7,37.09
34.432500000000005,24.7,36.89
34.0025,22.0,36.69
34.550000000000004,23.9,36.84
34.575,24.1,37.64
34.4825,24.1,37.09
34.65,24.2,36.84
35.2825,25.4,36.74
33.6,25.4,36.79
34.655,25.4,36.89
34.6875,25.0,36.84
34.89,25.0,36.99
34.535,25.0,36.89
34.485,25.0,36.84
33.885000000000005,23.4,37.09
35.747499999999995,23.6,38.34
34.2975,23.6,36.84
33.934999999999995,23.6,37.09
34.574999999999996,23.8,36.84
35.05500000000001,25.6,37.04
35.1125,25.6,37.49
33.667500000000004,23.6,36.39
35.515,23.6,37.64
34.69,23.6,36.79
34.1025,24.0,37.04
34.915,24.0,37.14
33.457499999999996,24.0,36.69
33.0925,24.2,36.79
35.125,23.2,37.54
34.335,23.2,37.04
34.495,23.2,37.09
34.517500000000005,23.2,36.84
34.3875,24.0,36.19
34.349999999999994,24.6,36.69
34.557500000000005,24.6,36.94
34.8625,24.8,37.19
34.7775,24.8,37.29
35.447500000000005,24.8,37.59
34.157500000000006,25.3,36.99
34.9,25.3,36.99
35.185,25.3,36.99
34.480000000000004,25.9,36.99
36.22,26.1,37.94
35.015,26.2,36.64
34.3425,26.2,36.94
33.945,24.6,36.89
34.605,24.9,36.89
35.26,25.1,37.19
34.59,25.6,36.84
34.3725,23.5,36.49
35.27,23.9,37.19
34.695,24.4,36.99
34.3275,24.0,36.69
34.2775,24.2,36.19
34.815,24.3,36.84
35.21,24.8,36.89
34.19,24.4,36.84
35.015,24.7,37.19
34.9825,25.0,37.09
34.975,24.5,36.69
33.754999999999995,23.4,36.54
34.589999999999996,23.8,36.84
34.335,23.9,36.89
34.302499999999995,24.0,36.39
34.279999999999994,23.9,36.69
34.5175,23.6,36.99
34.57,23.8,37.14
34.36,23.8,36.79
34.4225,24.3,36.79
34.225,24.3,37.19
34.64,24.3,36.69
34.582499999999996,23.7,36.69
34.065,23.8,37.04
33.685,23.5,36.94
34.5075,23.5,36.79
34.14000000000001,23.5,36.79
34.2225,23.5,37.04
34.3275,23.3,36.44
34.56,23.4,37.19
34.92,23.5,36.94
34.345,23.5,36.44
34.36,23.5,36.59
33.895,23.7,37.04
33.7725,23.7,36.94
33.795,23.4,36.74
34.012499999999996,23.3,37.04
34.544999999999995,23.3,37.24
34.4375,23.5,36.79
33.965,23.1,36.44
35.3625,23.6,37.14
33.8225,23.5,36.54
34.673333333333325,23.8,36.59
34.665,24.0,37.54
34.5675,23.5,36.74
33.925,23.6,36.79
31.8075,23.6,36.54
34.5025,23.9,36.84
34.0225,23.9,36.69
34.51333333333333,23.8,36.79
34.0875,23.9,36.44
34.6775,24.2,36.74
34.28,23.9,36.69
35.442499999999995,23.9,36.94
34.3625,23.8,36.69
35.330000000000005,22.0,37.34
34.25,22.0,37.24
32.6225,22.0,37.44
34.4225,22.0,36.19
34.74666666666666,22.0,36.59
34.6575,22.0,36.64
32.8075,22.0,36.09
34.862500000000004,22.0,37.29
35.375,23.7,37.34
34.78,24.1,36.84
34.9025,24.4,36.89
34.815,24.5,37.14
34.822500000000005,24.5,36.89
32.9675,24.3,36.74
35.2725,24.5,36.94
34.095,24.2,36.94
34.8275,23.9,36.94
33.18000000000001,24.1,36.59
34.6275,24.1,37.54
34.615,24.0,36.64
33.9625,24.0,36.69
34.9025,24.0,36.89
34.86,24.0,37.04
36.3675,24.2,39.84
34.2975,24.2,36.69
34.0375,23.4,36.94
35.8775,23.7,39.59
34.63,23.6,36.89
34.6725,23.5,38.29
34.0175,23.8,36.74
33.7975,23.8,36.74
34.315,23.8,37.49
32.942499999999995,23.8,36.64
35.0425,23.8,36.94
32.9925,22.0,36.59
34.6075,24.4,36.49
34.945,24.4,36.89
34.82,24.4,36.79
34.015,24.4,36.84
33.035,24.7,36.49
34.916666666666664,24.7,36.84
34.957499999999996,24.7,36.89
35.5025,24.5,37.04
35.214999999999996,24.5,36.74
34.7025,23.8,36.94
34.865,24.2,36.89
33.942499999999995,24.2,37.69
34.9325,24.3,36.94
34.870000000000005,24.1,36.99
33.317499999999995,24.1,36.34
33.575,24.1,37.09
34.7375,24.1,36.74
33.7675,24.1,35.54
34.8125,24.1,37.34
34.80499999999999,24.1,37.24
34.7175,23.5,36.84
34.3675,23.5,36.89
34.347500000000004,23.7,37.09
34.985,23.8,37.34
34.51,24.0,36.79
34.4375,23.7,36.99
33.917500000000004,24.0,36.89
33.455000000000005,23.5,36.79
34.38,23.7,37.39
33.59666666666667,24.2,38.29
